category,name,price in £,rating star(s)
Travel,It's Only the Himalayas,45.17,2
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
Travel,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
Travel,Under the Tuscan Sun,37.33,3
Travel,A Summer In Europe,44.34,2
Travel,The Great Railway Bazaar,30.54,1
Travel,A Year in Provence (Provence #1),56.88,4
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
Travel,Neither Here nor There: Travels in Europe,38.95,3
Travel,"1,000 Places to See Before You Die",26.08,5
Mystery,Sharp Objects,47.82,4
Mystery,"In a Dark, Dark Wood",19.63,1
Mystery,The Past Never Ends,56.5,4
Mystery,A Murder in Time,16.64,1
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
Mystery,The Last Mile (Amos Decker #2),54.21,2
Mystery,That Darkness (Gardiner and Renner #1),13.92,1
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69,1
Mystery,A Time of Torment (Charlie Parker #14),48.35,5
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73,2
Mystery,Poisonous (Max Revere Novels #3),26.8,3
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
Mystery,Most Wanted,35.28,3
Mystery,Hide Away (Eve Duncan #20),11.84,1
Mystery,Boar Island (Anna Pigeon #19),59.48,3
Mystery,The Widow,27.26,2
Mystery,Playing with Fire,13.71,3
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
Mystery,In the Woods (Dublin Murder Squad #1),38.38,2
Mystery,The Silkworm (Cormoran Strike #2),23.05,5
Mystery,The Exiled,43.45,3
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21,1
Mystery,Extreme Prey (Lucas Davenport #26),25.4,3
Mystery,Career of Evil (Cormoran Strike #3),24.72,2
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
Mystery,The Girl You Lost,12.29,5
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85,3
Mystery,Blood Defense (Samantha Brinkman #1),20.3,3
Mystery,1st to Die (Women's Murder Club #1),53.98,1
Historical Fiction,Tipping the Velvet,53.74,1
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53,5
Historical Fiction,The House by the Lake,36.95,1
Historical Fiction,Mrs. Houdini,30.25,5
Historical Fiction,The Marriage of Opposites,28.08,4
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84,3
Historical Fiction,"Love, Lies and Spies",20.55,2
Historical Fiction,A Paris Apartment,39.01,4
Historical Fiction,Lilac Girls,17.28,2
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62,3
Historical Fiction,The Invention of Wings,37.34,1
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97,4
Historical Fiction,The Passion of Dolssa,28.32,5
Historical Fiction,Girl With a Pearl Earring,26.77,1
Historical Fiction,Voyager (Outlander #3),21.07,5
Historical Fiction,The Red Tent,35.66,5
Historical Fiction,The Last Painting of Sara de Vos,55.55,2
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53,1
Historical Fiction,Girl in the Blue Coat,46.83,2
Historical Fiction,Between Shades of Gray,20.79,5
Historical Fiction,While You Were Mine,41.32,5
Historical Fiction,The Secret Healer,34.56,3
Historical Fiction,Starlark,25.83,3
Historical Fiction,Lost Among the Living,27.7,4
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97,5
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
Sequential Art,This One Summer,19.49,4
Sequential Art,The Nameless City (The Nameless City #1),38.16,4
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97,1
Sequential Art,Patience,10.16,3
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2
Sequential Art,I am a Hero Omnibus Volume 1,54.63,3
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2
Sequential Art,Danganronpa Volume 1,51.99,4
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
Sequential Art,Camp Midnight,17.08,4
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2
Sequential Art,The Shadow Hero (The Shadow Hero),33.14,1
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
Sequential Art,Batman: The Long Halloween (Batman),36.5,2
Sequential Art,Batman: The Dark Knight Returns (Batman),15.38,5
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1
Sequential Art,Through the Woods,25.38,2
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
Sequential Art,Robin War,47.82,3
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2
Sequential Art,El Deafo,57.62,5
Sequential Art,Batman: Europa,32.01,2
Sequential Art,Art Ops Vol. 1,48.8,3
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4
Sequential Art,Roller Girl,14.1,5
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1
Sequential Art,Original Fake,31.45,3
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1
Sequential Art,Awkward,38.02,2
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3
Sequential Art,The Complete Maus (Maus #1-2),10.64,3
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
Classics,The Secret Garden,15.08,4
Classics,The Metamorphosis,28.58,1
Classics,The Pilgrim's Progress,50.26,2
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2
Classics,Little Women (Little Women #1),28.07,4
Classics,Gone with the Wind,32.49,3
Classics,Candide,58.63,3
Classics,Animal Farm,57.22,3
Classics,Wuthering Heights,17.73,3
Classics,The Picture of Dorian Gray,29.7,2
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
Classics,Beowulf,38.35,2
Classics,And Then There Were None,35.01,2
Classics,The Story of Hong Gildong,43.19,4
Classics,The Little Prince,45.42,2
Classics,Sense and Sensibility,37.46,1
Classics,Of Mice and Men,47.11,2
Classics,Emma,32.93,2
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
Philosophy,Sophie's World,15.94,5
Philosophy,The Death of Humanity: and the Case for Life,58.11,4
Philosophy,The Stranger,17.44,4
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
Philosophy,Kierkegaard: A Christian Missionary to Christians,47.13,1
Philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5
Philosophy,Critique of Pure Reason,20.75,1
Philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1
Philosophy,The Nicomachean Ethics,36.34,1
Philosophy,Meditations,25.89,2
Philosophy,Beyond Good and Evil,43.38,1
Romance,Chase Me (Paris Nights #2),25.27,5
Romance,Black Dust,34.53,5
Romance,Her Backup Boyfriend (The Sorensen Family #1),33.97,1
Romance,First and First (Five Boroughs #3),15.97,4
Romance,Fifty Shades Darker (Fifty Shades #2),21.96,1
Romance,The Wedding Dress,24.12,1
Romance,Suddenly in Love (Lake Haven #1),55.99,2
Romance,Something More Than This,16.24,4
Romance,Doing It Over (Most Likely To #1),35.61,3
Romance,The Wedding Pact (The O'Malleys #2),32.61,3
Romance,Hold Your Breath (Search and Rescue #1),28.82,1
Romance,Dirty (Dive Bar #1),40.83,4
Romance,Take Me Home Tonight (Rock Star Romance #3),53.98,3
Romance,Off the Hook (Fishing for Trouble #1),47.67,3
Romance,A Gentleman's Position (Society of Gentlemen #3),14.75,5
Romance,"Sit, Stay, Love",20.9,3
Romance,A Girl's Guide to Moving On (New Beginnings #2),31.3,1
Romance,The Perfect Play (Play by Play #1),59.99,3
Romance,Dark Lover (Black Dagger Brotherhood #1),12.87,1
Romance,Changing the Game (Play by Play #2),13.38,3
Romance,A Walk to Remember,56.43,1
Romance,The Purest Hook (Second Circle Tattoos #3),12.25,1
Romance,The Obsession,45.43,1
Romance,Reservations for Two,11.1,3
Romance,Best of My Love (Fool's Gold #20),27.41,2
Romance,Where Lightning Strikes (Bleeding Stars #3),39.77,3
Romance,This One Moment (Pushing Limits #1),48.71,1
Romance,"Rhythm, Chord & Malykhin",28.34,2
Romance,My Perfect Mistake (Over the Top #1),38.92,2
Romance,Listen to Me (Fusion #1),58.99,3
Romance,Imperfect Harmony,34.74,4
Romance,Fighting Fate (Fighting #6),39.24,3
Romance,Deep Under (Walker Security #1),47.09,5
Romance,Charity's Cross (Charles Towne Belles #4),41.24,1
Romance,Bounty (Colorado Mountain #7),37.26,4
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
Womens Fiction,Will You Won't You Want Me?,13.86,3
Womens Fiction,Keep Me Posted,20.46,4
Womens Fiction,Grey (Fifty Shades #4),48.49,4
Womens Fiction,Meternity,43.58,3
Womens Fiction,Some Women,13.73,5
Womens Fiction,Shopaholic Ties the Knot (Shopaholic #3),48.39,5
Womens Fiction,Can You Keep a Secret?,21.94,1
Womens Fiction,Twenties Girl,42.8,2
Womens Fiction,The Undomestic Goddess,45.75,4
Womens Fiction,The Nanny Diaries (Nanny #1),52.53,5
Womens Fiction,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1
Womens Fiction,Something Borrowed (Darcy & Rachel #1),48.96,5
Womens Fiction,Something Blue (Darcy & Rachel #2),54.62,1
Womens Fiction,I've Got Your Number,19.69,1
Womens Fiction,The Edge of Reason (Bridget Jones #2),19.18,4
Womens Fiction,Bridget Jones's Diary (Bridget Jones #1),29.82,1
Fiction,Soumission,50.1,1
Fiction,Private Paris (Private #10),47.61,5
Fiction,"We Love You, Charlie Freeman",50.27,5
Fiction,Thirst,17.27,5
Fiction,The Murder That Never Was (Forensic Instincts #5),54.11,3
Fiction,Tuesday Nights in 1980,21.04,2
Fiction,The Vacationers,42.15,4
Fiction,The Regional Office Is Under Attack!,51.36,5
Fiction,Finders Keepers (Bill Hodges Trilogy #2),53.53,5
Fiction,The Time Keeper,27.88,5
Fiction,The Testament of Mary,52.67,4
Fiction,The First Hostage (J.B. Collins #2),25.85,3
Fiction,Take Me with You,45.21,3
Fiction,Still Life with Bread Crumbs,26.41,3
Fiction,Shtum,55.84,4
Fiction,My Name Is Lucy Barton,41.56,1
Fiction,My Mrs. Brown,24.48,3
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
Fiction,I Am Pilgrim (Pilgrim #1),10.6,4
Fiction,Eligible (The Austen Project #4),27.09,3
Fiction,Eight Hundred Grapes,14.39,4
Fiction,Dear Mr. Knightley,11.21,5
Fiction,Cometh the Hour (The Clifton Chronicles #6),25.01,3
Fiction,Balloon Animals,17.03,3
Fiction,A Man Called Ove,39.72,1
Fiction,The Silent Sister (Riley MacPherson #1),46.29,5
Fiction,The Dinner Party,56.54,2
Fiction,The Improbability of Love,59.45,1
Fiction,Mothering Sunday,13.34,2
Fiction,Lies and Other Acts of Love,45.14,1
Fiction,Daredevils,16.34,3
Fiction,11/22/63,48.48,3
Fiction,The Shack,28.03,1
Fiction,The High Mountains of Portugal,51.15,1
Fiction,Miller's Valley,58.54,2
Fiction,Hystopia: A Novel,21.96,4
Fiction,The Bourne Identity (Jason Bourne #1),42.78,4
Fiction,Sister Dear,40.2,4
Fiction,Memoirs of a Geisha,49.67,3
Fiction,Me Before You (Me Before You #1),19.02,1
Fiction,Deception Point,40.32,4
Fiction,The Little Paris Bookshop,24.73,3
Fiction,The Firm,45.56,3
Fiction,The Expatriates,44.58,2
Fiction,Siddhartha,34.22,5
Fiction,Last One Home (New Beginnings #1),59.98,3
Fiction,Digital Fortress,58.0,5
Fiction,Atlas Shrugged,26.58,5
Fiction,Three-Martini Lunch,23.21,3
Fiction,The Nightingale,26.26,4
Fiction,The Infinities,27.41,1
Fiction,The Husband's Secret,52.51,5
Fiction,The Da Vinci Code (Robert Langdon #2),22.96,2
Fiction,The Art of Fielding,22.1,1
Fiction,Lila (Gilead #3),12.47,3
Fiction,Jurassic Park (Jurassic Park #1),44.97,1
Fiction,Inferno (Robert Langdon #4),41.0,5
Fiction,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5
Fiction,Big Little Lies,22.11,1
Fiction,The Course of Love,16.78,3
Fiction,When I'm Gone,51.96,3
Fiction,The Silent Wife,12.34,5
Fiction,The Bette Davis Club,30.66,3
Fiction,Kitchens of the Great Midwest,57.2,5
Fiction,Bright Lines,39.07,5
Childrens,Birdsong: A Story in Pictures,54.64,3
Childrens,The Bear and the Piano,36.89,1
Childrens,The Secret of Dreadwillow Carse,56.13,1
Childrens,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4
Childrens,Little Red,13.47,3
Childrens,Walt Disney's Alice in Wonderland,12.96,5
Childrens,Twenty Yawns,22.08,2
Childrens,Rain Fish,23.57,3
Childrens,Once Was a Time,18.28,2
Childrens,Luis Paints the World,53.95,3
Childrens,Nap-a-Roo,25.08,1
Childrens,The Whale,35.96,4
Childrens,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3
Childrens,Raymie Nightingale,34.41,2
Childrens,Playing from the Heart,32.38,1
Childrens,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1
Childrens,The Wild Robot,56.07,3
Childrens,The Thing About Jellyfish,48.77,1
Childrens,The Lonely Ones,43.59,5
Childrens,The Day the Crayons Came Home (Crayons),26.33,5
Childrens,The Cat in the Hat (Beginner Books B-1),16.26,2
Childrens,Red: The True Story of Red Riding Hood,28.54,3
Childrens,Horrible Bear!,37.52,2
Childrens,Green Eggs and Ham (Beginner Books B-16),10.79,4
Childrens,Counting Thyme,10.62,1
Childrens,Are We There Yet?,10.66,3
Childrens,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4
Childrens,Matilda,28.34,1
Childrens,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2
Religion,You Are What You Love: The Spiritual Power of Habit,21.87,4
Religion,God: The Most Unpleasant Character in All Fiction,30.03,5
Religion,The Book of Mormon,24.57,3
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1
Religion,The Bhagavad Gita,57.49,3
Religion,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
Nonfiction,Reasons to Stay Alive,26.41,2
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
Nonfiction,In the Country We Love: My Family Divided,22.0,4
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
Nonfiction,The Genius of Birds,17.24,1
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
Nonfiction,So You've Been Publicly Shamed,12.23,2
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3
Nonfiction,Big Magic: Creative Living Beyond Fear,30.8,3
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2
Nonfiction,Agnostic: A Spirited Manifesto,12.51,5
